subj,exp,tp,self,other,fair,resp,rt,given,gen
3,1,1.5,81,17,64,0,0.591438068440766,33,0
3,1,1.5,8,98,-90,0,1.14816082836296,-48,0
3,1,1.5,47,71,-24,0,1.03486266511572,-21,0
3,1,1.5,72,32,40,1,1.00563547349884,-18,0
3,1,1.5,33,90,-57,0,0.913599547811828,-40,0
3,1,1.5,98,17,81,0,0.753746963060621,33,0
3,1,1.5,81,29,52,1,0.959735359278056,-21,0
3,1,1.5,95,12,83,0,0.621830550175218,38,0
3,1,10,74,3,71,0,1.8783853529003,47,0
3,1,10,87,0,87,0,4.52771440385186,50,0
3,1,10,99,12,87,0,2.97518874107664,38,0
3,1,10,98,4,94,0,2.50857087559234,46,0
3,1,10,13,50,-37,0,3.77267348856731,0,0
3,1,10,65,41,24,1,3.1861139499033,-9,0
3,1,10,86,37,49,0,3.25488109568687,13,0
3,1,10,19,99,-80,0,2.70495873282016,-49,0
3,1,10,52,38,14,1,2.27308000216908,-12,0
3,1,10,53,23,30,1,2.99379636051162,-27,0
3,1,10,21,53,-32,0,3.51726418178987,-3,0
3,1,10,95,2,93,0,2.25203623359448,48,0
3,1,10,89,14,75,0,3.07809166606785,36,0
3,1,10,66,41,25,1,1.71089185198616,-9,0
3,1,10,94,11,83,0,1.99097679096849,39,0
